id,question,reference_answer,actual_label,answer_1,answer_2,answer_3,answer_4,answer_5,semantic_entropy,normalized_entropy,semantic_consistency,semantic_hallucination_score,number_of_clusters,largest_cluster_ratio,unique_answer_count
35,Kronos (or Cronus) was the Greek equivalent of which Roman god?,Saturn,0,Saturn,Saturn,Saturn,Saturn,Saturn,0.0,0.0,1.0,0.0,1,1.0,1
36,What was the capital of West Germany?,Bonn,1,Berlin,Bonn,Berlin,Berlin,Berlin,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
37,In which year did the liner Queen Mary gain the blue riband on her maiden voyage?,1936,0,1936,1936,1936,1936,1936,0.0,0.0,1.0,0.0,1,1.0,1
38,'Simon Tappertit' appears in which novel by Charles Dickens?,'BARNABY RUDGE',0,Barnaby Rudge,Barnaby Rudge,Barnaby Rudge,Barnaby Rudge,Barnaby Rudge,0.0,0.0,1.0,0.0,1,1.0,1
39,"Which film starring Bill Murray includes the line Roses are red, violets are blue, I'm a schizophrenic and so am I?",What About Bob,1,Ghost,Groundhog Day,Ghost In The Shell,Groundhog Day,Ghost and the Mask,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
40,What beer was advertised with the slogan Reach for Greatness,Bass,1,Bud Light,Samuel Smith's Organic Best Bitter,Sam Adams November,Samuel Smith's Organic Ruby Barley Wine IPA,Samuel Smith's Organic Old Brewery Bitter,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
41,"House, Hogline, Hacks and Button are all terms used in which sport?",Curling,1,Chess,Chess,Chess,Poker,Scrabble,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
42,What is the name of the policeman in The Noddy stories,P.C. Plod,1,Ossie,Oznabrukh,Stinky,Noddy,Superintendent Clancy,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
43,"""Who is """"able to leap tall buildings in a single bound""""?""",Superman,1,Batman,Batman,Batman,Batman,Superman,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
44,"Name the popular writer, who died in 2010, and who rode the Queen Mother's horse Devon Loch when it inexplicably belly-flopped out of contention in the 1956 Grand National?",Dick Francis,1,Len Bennett,E. H. Shepard,Ericsson,Len Bennett,E. B. White,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
45,During which year did the UK television series ‘Emmerdale Farm’ change its title to ‘Emmerdale’?,1989,1,1989,1980,2002,1982,1981,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
46,What atmospheric layer is damaged by chlorofluorocarbons?,Ozone Layer,1,Troposphere,Stratosphere,Stratosphere,Stratosphere,Stratosphere,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
47,In which country did Idi Amin settle and die after his exile from Uganda?,Saudi Arabia,1,Tanzania,Tanzania,Kenya,Kenya,Tanzania,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
48,Which ancient relic was stolen by Scottish Activists from Westminster Abbey and returned to Scotland on Christmas day in 1950?,Stone of Scone,1,The Stone of Scone,Saint Edward's Sapphire,The Banner of the Master of the Rolls,The Stone of Scone,The Book of Kells,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
49,The cha-cha-cha is a dance developed from the mambo in 1950 in which country?,CUBA,0,Cuba,Cuba,Cuba,Cuba,Cuba,0.0,0.0,1.0,0.0,1,1.0,1
50,Where in the body is the stapes bone?,EAR,1,inner ear,Ear,In the middle ear,Inner ear,inner ear,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,3
51,For which minor sport do the USA and Europe compete annually for the Mosconi Cup?,POOL,1,Table tennis,Ice hockey,Bridge,Team snooker,Curling,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
52,Nicky Morgan is the current Secretary of State of which Government Department?,Education,1,"Department for Environment, Food and Rural Affairs (Defra)",Department of Health and Social Care,Department of Health,Department of Health,Department for Education,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
53,What is the art of decorating materials with marks resulting from the controlled application of a heated object?,Pyrography,1,Embossing,Enameling,Enameling,Engraving,Enameling,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,3
54,In which event did Amy Williams win a gold medal for Britain at the 2010 Winter Olympics?,Women’s skeleton,1,Mixed team event,500 m speed skating,Mixed Sprints Figure Speed Short Track Speed Skating Short Track Speed Skating,Mixed接力赛,Shortest Answer: Mixed Team Event,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
55,What colour is the flesh of a lychee?,White,1,Pinkish red,Red,Red and pink,Red,Red,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
56,"Which US singer has had albums called 'Daydream', 'Butterfly', 'Rainbow' and 'Glitter'?",Mariah Carey,1,Fleetwood Mac,Aretha Franklin,Whitney Houston,Whitney Houston,Fleet Foxes,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
57,Who was Jessica Rabbit's husband?,Roger Rabbit,1,Roger Rabbit,Roger Rabbit,Rusty Claws,Rod Serling,Ronald McDonald,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
58,Which composer's music forms the basis of the ballet Pineapple Poll?,SULLIVAN,1,Stravinsky,Stravinsky,John Tavares,Benjamin Britten,Stravinsky,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
59,"Which singer appears as bar-owner 'JD' in the film 'Lock, Stock and two Smoking Barrels'?",Sting,1,Pulp Fiction,Jason Statham,Frank Skinner,Patsy Thomas,Pulp Fiction,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
60,"In the final Harry Potter novel, who becomes headmaster of Hogwarts School?",Severus Snape,1,Albus Dumbledore,Albus Dumbledore,Albus Dumbledore,Albus Dumbledore,Dumbledore,0.0,0.0,1.0,0.0,1,1.0,2
61,Who wrote the play 'Private Lives'?,Noel Coward,1,Jean-Pierre Marret,Jean-Paul Sartre,Aristophanes,Jean-Paul Sartre,Jean-Paul Sartre,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
62,In which North African country was Yves St. Laurent born as Henri Donat Mathieu?,Algeria,1,France,France,France,France,France,0.0,0.0,1.0,0.0,1,1.0,1
63,"In the George Orwell novel Animal Farm, what sort of animal was Napoleon ?",PIG,0,Pig,Pig,Pig,Pig,Pig,0.0,0.0,1.0,0.0,1,1.0,1
64,Who wrote the books ‘The Good Companions’ and ‘An Inspector Calls’?,J.B. Priestly,1,J. B. Priestley,playwright,George Bernard Shaw,George Bernard Shaw,J. B. Priestley,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
65,"Which nickname was given to the American WWII general, George Patton?",BLOOD and GUTS,1,Old Blood and Guts,Old Blood and Guts,Thunderbolt,Old Blood and Guts,Old Blood and Guts,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
66,What language did the Pennsylvania Dutch speak?,German,0,German,German,German,German,German,0.0,0.0,1.0,0.0,1,1.0,1
67,Which Indian tribe did Sitting Bull belong to?,Sioux,1,Hunkpapa Lakota,Hunkpapa,Assiniboine,Hunkpapa Lakota,Assiniboine,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
68,"On this day, 8th November, which famous poet who was blind in his later years, died in his home in London in 1647?",JOHN MILTON,0,John Milton,John Milton,John Milton,John Milton,John Milton,0.0,0.0,1.0,0.0,1,1.0,1
69,"The wood from which common tree was traditionally used to make tennis racquets, snooker cues and hockey sticks",Ash,1,Willows,willow,Willows,willow,Willows,0.0,0.0,1.0,0.0,1,1.0,2
70,Who was the son of King John and Isabella of Angoulme who became King of England when 9 years old?,Henry III,1,Richard II,John II of France,Richard II,Richard II,John II,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
71,"Which country was proclaimed a republic in 1867, following the withdrawal of the French administration and the execution of Emperor Ferdinand Maximilian?",Mexico,0,Mexico,Mexico,Mexico,Mexico Republic,Mexico,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
72,Which Grand Slam tournament uses the distinctive serving pose of the Swedish player Stefan Edberg on its logo?,Australian Open,0,French Open,French Open,Australian Open,French Open,Australian Open,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
73,Who acceded the English throne after the death of Edward III?,RICHARD II,0,Richard II,Richard II,Richard II,Richard II,Richard II,0.0,0.0,1.0,0.0,1,1.0,1
74,"What Latin term is used to mean 'word for word', or 'exactly the same words'?",Verbatim,0,Verbatim,Verbatim,Verbum verbo,Word-for-word,Verbum verbum,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,4
75,The green jersey is worn by the Tour de France's?,Best sprinter,1,General classification leader,Points classification,Points classification,general classification leader,General classification leader,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
76,How many apostles are there in the painting ‘The Last Supper’ by Leonardo da Vinci?,12,1,Twelve,Twelve,Twelve,twelve,Twelve,0.0,0.0,1.0,0.0,1,1.0,1
77,In which country did the Contras battle the Sandinistas throughout most of the 1980s?,Nicaragua,0,Nicaragua,Nicaragua,Nicaragua,Nicaragua,Nicaragua,0.0,0.0,1.0,0.0,1,1.0,1
78,"""Who starred as AC Slater in """"Saved by the Bell""""?""",Mario Lopez,1,Dustin Diamond,Slater,Dustin Diamond,Slater D. Lawrence,Slater,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
79,"In May 2009, Millvina Dean died aged 97. She was the last survivor of which historic event?",The sinking of the Titanic,1,Titanic,sinking of RMS Titanic,Titanic disaster,The sinking of the RMS Titanic,Titanic,0.0,0.0,1.0,0.0,1,1.0,4
80,What country do Legos come from originally?,Denmark,0,Denmark,Denmark,Denmark,Denmark,Denmark,0.0,0.0,1.0,0.0,1,1.0,1
81,Which was the 50th and last state to become part of the USA?,Hawaii,0,Hawaii,Hawaii,Hawaii,Hawaii,Hawaii,0.0,0.0,1.0,0.0,1,1.0,1
82,"Who wrote the music for 'Billy Elliot, The Musical'?",ELTON JOHN,0,Elton John,Elton John,Elton John,Elton John,Elton John,0.0,0.0,1.0,0.0,1,1.0,1
83,"Seals, sea lions and walrus belong to which suborder of manunals?",PINNIPEDIA,0,Pinnipedia,Pinnipedia,Pinnipedia,Pinnipedia,Pinnipedia,0.0,0.0,1.0,0.0,1,1.0,1
84,"Held just outside Bridgeville, DE, Friday marks the start of the world championship in the art of throwing what for distance, using classes such as Air, Centrifugal, Catapult, Trebuchet, and Human Powered?",Pumpkins,1,Jousting,Javelin,Javelin,Jai Alai,Javelin,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
85,How are comedians Paul & Barry Elliot better known?,THE CHUCKLE BROTHERS,1,Gallagher,McSorley's,Pearle Brothers,Paul & Barry Elliott are better known as The Red Grange Boys,McSorley's,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
86,Which Greek goddess is the muse of erotic poetry?,Erato,1,EROS,Erotes,Eros,Erotes,Erotes,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
87,What was the name of the dog in Enid Blighton's Famous Five books?,Timmy.,0,Timmy,Timber,Myfanwy,Towser,Towser,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,4
88,What dangerous type of horse race involves jumping over various fences and ditches?,Steeplechase,1,Horse racing,Jumping,Equestrian jumping,Jumping,Jumping,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
89,A pride is a group of what type of animal?,Lion,0,Lion,Pride is a group of lions.,Lion,Lions,Lion,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
90,The Cantonese/Chinese dish 'foo yong' (also 'fu young') is similar to?,Omelette,1,dim sum,Soup,Dim sum,dim sum,dim sum,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
91,"Prudhoe Bay Oil Field, the largest in North America, is in which US state?",ALASKA,0,Alaska,Alaska,Alaska,Alaska,Alaska,0.0,0.0,1.0,0.0,1,1.0,1
92,"What is a large semi-aquatic rodent native to Canada, much of the United States, and parts of northern Mexico that constructs homes out of sticks, twigs, and mud in lakes or streams?",Beaver,0,beaver,beaver,Beaver,Beaver,beaver,0.0,0.0,1.0,0.0,1,1.0,1
93,The Biba boutiques were at the heart of swinging London and at one time had the highest turnover of any British retail company. Who founded and ran Biba?,Barbara Hulanicki,1,Ossie Clark,Ossie Clark,Ossie Clark,Ossie Clark,Barbara Hulanicki,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
94,Mjosa (more precisely Mjøsa) is the largest lake of which country?,Norway,0,Norway,Norway,Norway,Norway,Norway,0.0,0.0,1.0,0.0,1,1.0,1
95,Which US President was known as 'The Rail-Splitter' and 'The Great Emancipator'?,ABRAHAM LINCOLN,0,Abraham Lincoln,Abraham Lincoln,Abraham Lincoln,Abraham Lincoln,Abraham Lincoln,0.0,0.0,1.0,0.0,1,1.0,1
96,Which London museum occupies part of the old Bethlehem Royal Hospital?,IMPERIAL WAR MUSEUM,1,The Museum of London Hospital,The Museum of London Hospital,Wellcome Collection,Bethlem Museum of Psychiatry,The Wellcome Trust Museum of the Eye,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
97,What is the flavour of the liqueur Amaretto?,Almond,0,Sweet almond,almond,almond,almond,almond,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
98,How often is the Oberammergau Passion Play performed?,EVERY TEN YEARS,1,every ten years,every ten years,every ten years,every ten years,every ten years,0.0,0.0,1.0,0.0,1,1.0,1
99,Whose cottage is on the left of the Constable painting The Hay Wain?,WILLY LOTT,1,Turner's,Turner's,Turner's,Turner's,Turner's,0.0,0.0,1.0,0.0,1,1.0,1
100,‘Wot a lot I got’ was the advertising slogan for which confectionery items?,Smarties,0,M&Ms,Roses,Smarties,Roses,Maltesers,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,4
101,What is a cricket umpire signalling when he holds out one arm horizontally?,No Ball,1,Wide,Wide,Wide,W,run,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,3
102,"What is a mixture of saturated aliphatic and alicyclic C7 to C12 hydrocarbons with a maximum content of 25% of C7 to C12 alkyl aromatic hydrocarbons, which is used as an extraction, cleaning and degreasing solvent, and as a solvent in aerosols, paints, wood preservatives, lacquers, varnishes, and asphalt products?",White spirit,1,Mineral spirit,n-decane,Solventblend,Solventblend 2000,Kerosene,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
103,Who won the World Darts Championship 4 times in the 1980s?,Eric Bristow,1,Peter Ebdon,Phil Taylor,Raymond van Barneveld,Phil Taylor,John Lowe,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
104,"Which river rises on the Tibetan Plateau, flows northwest and then south and southwest to enter the Arabian Gulf in the Seven Rivers area south of Karachi?",INDUS,1,Indus,Indus River,Indus River,Indus River,Indus River,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
105,In which city is the HQ of Volkswagen cars?,Wolfsburg,0,Wolfsburg,Wolfsburg,Ingolstadt,Wolfsburg,Wolfsburg,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
106,"""Which American pop singer/songwriter who won the first season of the television series American Idol in 2002 won two Grammy Awards in 2006 - for her album """"Breakaway"""" and the single """"Since U Been Gone""""?""",Kelly Clarkson,0,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,Kelly Clarkson,0.0,0.0,1.0,0.0,1,1.0,1
107,"The wreck of which warship, one of the largest in the English navy of King Henry VIII in the first half of the 16th century, was rediscovered in 1971 and salvaged in October 1982?",Mary Rose,0,HMS Great Michael,Mary Rose,Mary Rose,Mary Rose,Mary Rose,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
108,What seven-letter word means “A Russian tea urn”?,samovar,0,samovar,samovar,samovar,samovar,samovar,0.0,0.0,1.0,0.0,1,1.0,1
109,What are the first names of David and Victoria Beckham’s daughter?,Harper Seven,1,Brooklyn,Brooklyn,Brooklyn,Brooklyn,Brooklyn,0.0,0.0,1.0,0.0,1,1.0,1
110,"Which Roman writer, best known for his Natural History (Naturalis Historic), died during the eruption of Vesuvius in 79AD?",Pliny,1,Pliny the Elder,Pliny the Elder,Pliny the Elder,Pliny the Elder,Pliny the Elder,0.0,0.0,1.0,0.0,1,1.0,1
111,"Gary Numan, Cliff Richard and Crystal Gayle were all born with which surname?",Webb,1,Numan,Numan,Craig,Numan,Richardson,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
112,"Because it was worn by recently freed slaves in Ancient Rome, what cap became the symbol of liberty?",Pileus,1,Phrygian cap,Phrygian cap,Phrygian cap,Phrygian cap,Phrygian cap,0.0,0.0,1.0,0.0,1,1.0,1
113,"What form of bridge is Tower Bridge, London?",Bascule,1,Suspension Bridge,Tower Bridge,Tower Bridge is a drawbridge.,Suspension,悬索桥,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,5
114,"Published in 2011, 'The House of Silk' is the first new official Sherlock Holmes mystery and was written by which author who has won many awards for his children's books?",ANTHONY HOROWITZ,1,Alex North,Stuart Little,Alex Rider,Linwood Barclay,Alan Snow,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
115,Harrison Ford was working as what before his first big break as a film actor?,Carpenter,1,"actor To be more precise, Harrison Ford started his career as a model before becoming a film actor. Before his first big break, Ford worked as a",actor,Screenwriter,Pilot,Screenwriter,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
116,What type of animal is a shell-less gastropod?,Slug,1,Snail,Snail,Slug,Snail,Amphipod crustacean,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,3
117,"The Finch family of Maycomb, Alabama feature in which 1960 novel?",To Kill A Mockingbird,0,To Kill a Mockingbird,To Kill a Mockingbird,To Kill a Mockingbird,To Kill a Mockingbird,To Kill a Mockingbird,0.0,0.0,1.0,0.0,1,1.0,1
118,"Which Venetian artist, real name Jacopo Robusti, painted “The Origin of the Milky Way”?",Tintoretto,1,Jacopo Robusti Passignano,Jacopo Robusti Passignano,"Jacopo Robusti di Tino, known by his alias El Greco, painted ""The Origin of the Milky Way"". However, El Gre",Jacopo Robusti di Tocco,"Jacopo Robusti di Tovetto Toth  (alternatively known as El Greco) did not create ""The Origin of the",1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
119,To which James Bond film did Nancy Sinatra sing the theme tune?,You Only Live Twice,0,You Only Live Twice,You Only Live Twice,You Only Live Twice,You Only Live Twice,You Only Live Twice,0.0,0.0,1.0,0.0,1,1.0,1
120,Which American President was the teddy bear named after?,Theodore Roosevelt,1,Teddy Roosevelt,Teddy Roosevelt,Teddy Roosevelt,Teddy Roosevelt,Teddy Roosevelt,0.0,0.0,1.0,0.0,1,1.0,1
