id,question,reference_answer,answer_1,answer_2,answer_3,answer_4,answer_5,semantic_entropy,normalized_entropy,semantic_consistency,clusters,generation_errors
20,Who found the remains of the Titanic?,Robert Ballard,Harland and Wolff,James Cameron,Robert Ballard,"J. Charcot To the best of my knowledge, the answer to the",J. Henry Harris,1.6094379124341005,1.0000000000000002,-2.220446049250313e-16,"[[0], [1], [2], [3], [4]]",
21,Who was the only Spice Girl not to have a middle name?,Posh Spice,Cheryl,Geri Halliwell,Geri Halliwell,Melanie Brown,Geri Halliwell,0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0], [1, 2, 4], [3]]",
22,What are the international registration letters of a vehicle from Algeria?,DZ,KE,AG,DG,DA,DK,1.6094379124341005,1.0000000000000002,-2.220446049250313e-16,"[[0], [1], [2], [3], [4]]",
23,How did Jock die in Dallas?,Helicopter accident,"Jock Harris died in a car accident. Jock Harris, a character",Jock died of a heart attack. To: Jock died of a,Jock Sutherland died in a car crash in 1981,"Jock Harris died of a heart attack in Dallas. To be precise,","Jock Sutherland, a character in the television series Dallas, died of",1.6094379124341005,1.0000000000000002,-2.220446049250313e-16,"[[0], [1], [2], [3], [4]]",
24,What star sign is Michael Caine?,Pisces,Aquarius,Aquarius,Aquarius,Aquarius,Aries,0.5004024235381879,0.31091750708257115,0.6890824929174288,"[[0, 1, 2, 3], [4]]",
25,Who wrote the novel Evening Class?,Maeve Binchy,James Salter,James Lee Burke,John Lanchester,John Irving,John Braine,1.6094379124341005,1.0000000000000002,-2.220446049250313e-16,"[[0], [1], [2], [3], [4]]",
26,Which country does the airline Air Pacific come from?,Fiji,Fiji,Papua New Guinea,Fiji,Samoa,Fiji,0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0, 2, 4], [1], [3]]",
27,In which branch of the arts does Allegra Kent work?,Ballet,film,film Kent works in the film industry. Kent is a film director. Kent,television Kent works in television.,film,film,0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0, 3, 4], [1], [2]]",
28,"Who had a 70s No 1 hit with Billy, Don't Be A Hero?",Bo Donaldson & The Heywoods,Eagles,Stevie Wonder,Boston,Steely Dan,Foreigner,1.6094379124341005,1.0000000000000002,-2.220446049250313e-16,"[[0], [1], [2], [3], [4]]",
29,Banting and Best pioneered the use of what?,Insulin,insulin,insulin,insulin,insulin,insulin,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
30,Who directed the movie La Dolce Vita?,Federico Fellini,Federico Fellini,Federico Fellini,Federico Fellini,Federico Fellini,Federico Fellini,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
31,Which country does the airline LACSA come from?,Costa Rica,Bolivia,Paraguay,Brazil,Brazil,Bolivia,1.0549201679861442,0.6554587535412857,0.3445412464587143,"[[0, 4], [1], [2, 3]]",
32,Who directed 2001: A Space Odyssey?,Stanley Kubrick,Stanley Kubrick,Stanley Kubrick,Stanley Kubrick,Stanley Kubrick,Stanley Kubrick,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
33,Which is the largest of the Japanese Volcano Islands?,Iwo Jima,Kikai,Kuchinoerabujima,Kyushu,Kyushu,Kyushu,0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0], [1], [2, 3, 4]]",
34,Ezzard Charles was a world champion in which sport?,Boxing,boxing,boxing,Boxing,Boxing,boxing,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
35,Who was the first woman to make a solo flight across the Atlantic?,Amelia Earhart,Amelia Earhart,Amelia Earhart,Amelia Earhart,Amelia Earhart,Amelia Earhart,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
36,Which port lies between Puget Sound and Lake Washington?,Seattle,Seattle harbor port,Seattle Port Center,Ballard Locks,Ballard Locks,Seattle Port Center,1.0549201679861442,0.6554587535412857,0.3445412464587143,"[[0], [1, 4], [2, 3]]",
37,In which city were Rotary Clubs set up in 1905?,Chicago,Chicago,chicago,Chicago,chicago,Chicago,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
38,Who became US Vice President when Spiro Agnew resigned?,Gerald Ford,Gerald Ford,Gerald Ford,Gerald Ford,Gerald Ford,Gerald Ford,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
39,In which decade of the 20th century was Billy Crystal born?,1940s,1940s,1940s,1940s,1940s,1940s,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
40,Which George invented the Kodak roll-film camera?,Eastman,George Eastman,George Eastman George Eastman is the George who invented the Kodak roll,George Eastman,George Eastman,George Eastman,0.5004024235381879,0.31091750708257115,0.6890824929174288,"[[0, 2, 3, 4], [1]]",
41,Which series had the characters Felix Unger and Oscar Madison?,The Odd Couple,The Fresh Prince of Bel-Air,The Fresh Prince of Bel-Air series had the characters Felix Unger and,The Fresh Prince of Bel-Air,The Fresh Prince of Bel-Air,The Advenit series,0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0, 2, 3], [1], [4]]",
42,Who along with Philips developed the CD in the late 70s?,Sony,Sony,Sony,Morton Panitch along with Philips developed the CD in the late 70,Bertie Woorts and Philips,Sony,0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0, 1, 4], [2], [3]]",
43,Where is the multinational Nestle based?,Switzerland,Geneva,Geneva,Switzerland,Geneva,"Switzerland Nestle is a multinational food and nutrition company headquartered in Vevey,",0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0, 1, 3], [2], [4]]",
44,Do You Know Where You're Going To? was the theme from which film?,Mahogany,Do You Know Where You're Going To? was the theme from The Long,Do You Know Where You're Going To? was the theme from The Great,Do You Know Where You're Going To? was the theme from the film,Do You Know Where You're Going To? was the theme from the film,Do You Know Where You're Going To? was the theme from the film,0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0], [1], [2, 3, 4]]",
45,19969 was the Chinese year of which creature?,Rat,rat,rat,dragon,rat,Year of the Monkey,0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0, 1, 3], [2], [4]]",
46,In the 90s how many points have been awarded for finishing second in a Grand Prix?,6,25,25,25,25,250,0.5004024235381879,0.31091750708257115,0.6890824929174288,"[[0, 1, 2, 3], [4]]",
47,Stapleton international airport is in which US state?,Colorado,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
48,What was Kevin Kline's first movie?,Sophie's Choice,"The Cook, The Thief, His Wife & Her Lover",Love American Style,A Fish Called Wanda,The Paper Chase,The Best Man,1.6094379124341005,1.0000000000000002,-2.220446049250313e-16,"[[0], [1], [2], [3], [4]]",
49,Which actor had a Doberman Pinscher called Kirk?,William Shatner,Robert Duvall,Robert Wagner Answer: Robert Wagner.,Robin Williams,Robin Williams,Steve Martin,1.3321790402101223,0.8277293767706428,0.17227062322935716,"[[0], [1], [2, 3], [4]]",
50,What day of the week was the Wall Street Crash?,Thursday,Friday The Wall Street Crash occurred on a Friday. Friday. Friday. Friday,Friday,Monday,Friday The Wall Street Crash occurred on Thursday. To correct the answer: The,"Friday The Wall Street Crash occurred on October 29, 19",1.6094379124341005,1.0000000000000002,-2.220446049250313e-16,"[[0], [1], [2], [3], [4]]",
51,The US signed a treaty with which country to allow the construction of the Panama Canal?,Columbia,United States Panama,The US signed a treaty with Panama to allow the construction of the Panama Canal,Panama,The US signed a treaty with Panama to allow the construction of the Panama Canal,United States Panama,0.6730116670092565,0.4181656600790517,0.5818343399209482,"[[0, 2, 4], [1, 3]]",
52,What was Prince's last No 1 of the 80s?,Batdance,Purple Rain,Purple Rain,Purple Rain,Purple Rain,Purple Rain,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
53,Man In The Mirror first featured on which Michel Jackson album?,Bad,Thriller,Dangerous,Dangerous,Dangerous,Dangerous,0.5004024235381879,0.31091750708257115,0.6890824929174288,"[[0], [1, 2, 3, 4]]",
54,Where was the first battle with US involvement in the Korean War?,Suwon,Pusan Perimeter,Pusan Perimeter,Pusan Perimeter,Pusan Perimeter,Pusan Perimeter,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
55,On which Caribbean island did Princess Diana spend he first Christmas after her divorce was announced?,Barbuda,Saint Martin Saint Martin is not the correct answer. The Caribbean island where Princess,Saint Martin,Saint Martin,Saint Martin,Bonaire,0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0], [1, 2, 3], [4]]",
56,In which decade was Arnold Schwarzenegger born?,1950s,1940s,1940s,1940s,1940s,1940s,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
57,Which musical featured the song Thank Heaven for Little Girls?,Gigi,The Showgirl's Kiss,The Sound of Music,The Wedding Singer,The Show Must Go On,The Wedding Singer,1.3321790402101223,0.8277293767706428,0.17227062322935716,"[[0], [1], [2, 4], [3]]",
58,The Queen Elizabeth liner was destroyed by fire in the 70s in which harbour?,Hong Kong,Southampton,Southampton,Southampton,Southampton,Port of Antwerp,0.5004024235381879,0.31091750708257115,0.6890824929174288,"[[0, 1, 2, 3], [4]]",
59,What breed of dog did Columbo own?,Basset hound,Labrador Retriever,Labrador Retriever,Labrador Retriever,Labrador Retriever,Labrador Retriever Columbo owned a Labrador Retriever. Columbo,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
60,What was the first movie western called?,Kit Carson,"The Good, the Bad and the Ugly",The Big Sky,"The first movie western called ""The Great Train Robbery"" was released in","The title of the first movie western was ""The Great Train Robbery"".",The Longest Day,1.3321790402101223,0.8277293767706428,0.17227062322935716,"[[0], [1], [2, 3], [4]]",
61,Which Oscar-winning actress was born on exactly the same day as actress Lindsay Wagner?,Meryl Streep,Katharine Hepburn,Katharine Hepburn,Joanne Woodward,Sandra Bullock,Bette Davis,1.3321790402101223,0.8277293767706428,0.17227062322935716,"[[0, 1], [2], [3], [4]]",
62,Which Amendment to the Constitution brought in prohibition in 1920?,18th,Eighteenth Amendment,Eighteenth Amendment To The Constitution brought in prohibition in 1920,Eighteenth Amendment To The United States Constitution brought in prohibition in 19,Eighteenth Amendment,Eighteenth Amendment To The Constitution brought in prohibition in 1920,1.0549201679861442,0.6554587535412857,0.3445412464587143,"[[0, 3], [1, 4], [2]]",
63,Which oil scandal hit the US in 1924?,Teapot Dome Scandal,Teapot Dome scandal,Teapot Dome scandal,Teapot Dome scandal,Teapot Dome scandal,Teapot Dome scandal,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
64,Phil Collins appeared in which Spielberg film with Robin Williams?,Hook,Hook,Good Will Hunting,Hook,Hook,Hook,0.5004024235381879,0.31091750708257115,0.6890824929174288,"[[0, 2, 3, 4], [1]]",
65,1998 was the Chinese year of which creature?,Tiger,horse,rat,horse,rat,rat,0.6730116670092565,0.4181656600790517,0.5818343399209482,"[[0, 2], [1, 3, 4]]",
66,Which country does musician Alfred Brendel come from?,Austria,Austria,Austria,Austria,Austria,Austria,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
67,Theodore Francis international airport is in which US state?,Rhode Island,Connecticut,Rhode Island,Rhode Island,Maine,Massachusetts,1.3321790402101223,0.8277293767706428,0.17227062322935716,"[[0], [1, 2], [3], [4]]",
68,In which soap did Demi Moore find fame?,General Hospital,Top Model,Leaving It All Out,Ghost,Georgia Totto Moore,Naked City,1.6094379124341005,1.0000000000000002,-2.220446049250313e-16,"[[0], [1], [2], [3], [4]]",
69,"To the nearest million, what is the population of London, England?",7 million,"9 million To the nearest million, what is the population of London,",9 million,9 million,9 million,9 million,0.5004024235381879,0.31091750708257115,0.6890824929174288,"[[0], [1, 2, 3, 4]]",
70,What did Clarice Cliff create?,Pottery,ceramics,pottery and ceramic art,ceramic art,ceramics,ceramics,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
71,Which James Bond film features a song by Louis Armstrong?,On Her Majesty's Secret Service,Goldfinger Goldfinger is the James Bond film that features a song by Louis,Goldfinger,Diamonds Are Forever,Goldfinger,Live and Let Die,1.3321790402101223,0.8277293767706428,0.17227062322935716,"[[0], [1, 3], [2], [4]]",
72,In what year were US ground troops first dispatched to Vietnam?,1965,1964,1965,1965,1964,1964,0.6730116670092565,0.4181656600790517,0.5818343399209482,"[[0, 3, 4], [1, 2]]",
73,In 1999 Anna Kournikova signed a lucrative contract to model what?,Bras,tennis apparel,tennis clothes,tennis,tennis gear,tennis clothes,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
74,Which member of the Monkees came from Washington DC?,Peter Tork,Micky Dolenz,Davy Jones,Davy Jones,Davy Jones,"Mark Elizabeth Tetley, better known by his stage name Mark Peter Ackerman",0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0], [1, 2, 3], [4]]",
75,Which ship was sunk by a German submarine in 1915 with a loss of 1400 lives including 128 Americans?,Lusitania,Lusitania,Lusitania,Lusitania,Lusitania,Lusitania,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
76,In what decade were video recorders first developed?,50s,1970s,1970s,1970s,1970s,1970s,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
77,Who had the noels Spy Hook and Spy Line published in the 80s?,Len Deighton,James Bond,James Bond,James Bond,James Bond,James Bond,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
78,the first credit cards were for use in what type of establishments?,Restaurants,restaurants and hotels,restaurants and hotels,restaurants,restaurants and hotels,restaurants and gas stations,0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0, 1, 3], [2], [4]]",
79,In which country was Ursula Andrews born?,Switzerland,United States Andrews was born in the United States.,United States,United States Andrews was born in the United States. To: United States.,United States,United States,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
80,What was CBS TV news broadcaster Walter Cronkite's stock closing phrase?,And that's the way it is,"""And now, back to you, Jim."" Cronkite's stock","""And that's the way it is."" Walter Cronkite's stock","""And that's the way it is.""","""And that's the way it is."" Walter Cronkite's stock","""And that's the way it is."" Walter Cronkite's stock",0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0], [1, 3, 4], [2]]",
81,Who had a 70s No 1 hit with Let Your Love Flow?,Bellamy Brothers,"Earth, Wind & Fire",Diana Ross,Diana Ross,Tina Turner,"Earth, Wind & Fire",1.0549201679861442,0.6554587535412857,0.3445412464587143,"[[0, 4], [1, 2], [3]]",
82,Which state renewed Mike Tyson's boxing license in 1998?,Nevada,Kentucky,Texas,Kentucky,Kentucky,Kentucky,0.5004024235381879,0.31091750708257115,0.6890824929174288,"[[0, 2, 3, 4], [1]]",
83,Neil Armstrong was a pilot in which war?,Korean,Vietnam War,Vietnam War,Vietnam War,Vietnam War,Vietnam War,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
84,Which English-born US citizen hosted Masterpiece theater?,Alistair Cooke,Pat Boone,Pat Boone Boone was indeed an English-born US citizen who hosted Masterpiece Theater,Pat Boone,Pat Boone,Pat Boone,0.5004024235381879,0.31091750708257115,0.6890824929174288,"[[0, 2, 3, 4], [1]]",
85,Nickelodeon was founded in 1979 by which company?,Warner Amex,Time Warner,Viacom,Viacom,Time Warner,Viacom,0.6730116670092565,0.4181656600790517,0.5818343399209482,"[[0, 3], [1, 2, 4]]",
86,Which element along with polonium did the Curies discover?,Radium,radium,uranium,radium The Curies discovered radium along with polonium. Radium,uranium,uranium,0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0], [1, 3, 4], [2]]",
87,In The Banana Splits what sort of animal was Snorky?,Elephant,Snorky was a monkey.,Snorky was an anthropomorphic dog. anthropomorphic dog,Snorky was a gorilla.,Snorky was a gorilla.,Snorky was a gorilla.,0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0], [1], [2, 3, 4]]",
88,Who had an 80s No 1 hit with Can't Fight This Feeling?,REO Speedwagon,Michael Jackson,Mariah Carey,George Michael,Cher,The Foundations,1.6094379124341005,1.0000000000000002,-2.220446049250313e-16,"[[0], [1], [2], [3], [4]]",
89,Which parallel was the truce line in the Korean War?,38th Parallel,"The 38th parallel To the north was North Korea, to the",The parallel that was the truce line in the Korean War is 3,The parallel that was the truce line in the Korean War was 3,38th parallel,38th parallel,1.0549201679861442,0.6554587535412857,0.3445412464587143,"[[0], [1, 2], [3, 4]]",
90,On a computer keyboard which letter is between A and D?,S,B,B,B,B,B,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
91,"Which musical featured the song Flash Bang, Wallop?",Half,"The musical that featured the song Flash Bang, Wallop is Cabaret.",Skins,Skins,Skins,Skins,0.5004024235381879,0.31091750708257115,0.6890824929174288,"[[0], [1, 2, 3, 4]]",
92,What was Hitchcock's first sound movie?,Blackmail,Shadow of a Doubt,Rebecca,Rebecca,The Paradine Case,Shadow of a Doubt,1.0549201679861442,0.6554587535412857,0.3445412464587143,"[[0, 4], [1, 2], [3]]",
93,Which newspaper did Jackie Kennedy work for just before her marriage?,Washington Times Herald,The Washington Post,The Washington Post,New York Times,The Washington Post,The Washington Post,0.5004024235381879,0.31091750708257115,0.6890824929174288,"[[0, 1, 3, 4], [2]]",
94,What are the international registration letters of a vehicle from Turkey?,TR,TR,TR,TR,TR,TR,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
95,Who wrote The Turn Of The Screw in the 19th century and The Ambassadors in the 20th?,Henry James,Henry James,Henry James,Henry James,Henry James,Henry James,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
96,Which American nuclear submarine was the first to sail across the North Pole under the ice cap?,Nautilus,USS Nautiluss,USS Nautilus (SSN-571) Answer: USS Na,USS Nome,USS Nautilus (SSN-571) The USS Nautilus,USS Nautiluss,0.9502705392332347,0.5904362833084089,0.4095637166915911,"[[0, 3, 4], [1], [2]]",
97,What was John Glenn/'s first spacecraft called?,Friendship 7,Friendship 7,Friendship 7,Friendship 7,Friendship 7,Friendship 7,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
98,Which branch of medicine is concerned with disorders of the blood?,Haematology,Hematology,Hematology,Hematology,Hematology,Hematology,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
99,Where was The Iron Triangle?,Vietnam,The Iron Triangle was a combat zone in Vietnam. Vietnam,Washington D. C. The Iron Triangle is located in Washington D. C,United States,"Kansas City, Missouri",Philadelphia,1.6094379124341005,1.0000000000000002,-2.220446049250313e-16,"[[0], [1], [2], [3], [4]]",
100,What is the correct name of laughing gas?,Nitrous oxide,Nitrous oxide,Nitrous oxide,Nitrous oxide,Nitrous oxide,Nitrous oxide,0.0,0.0,1.0,"[[0, 1, 2, 3, 4]]",
