id,question,reference_answer,generated_answer,non_hallucination_probability,hallucination_probability,actual_label,semantic_entropy,normalized_entropy,semantic_consistency,semantic_hallucination_score,number_of_clusters,largest_cluster_ratio,unique_answer_count
11,Which innovation for the car was developed by Prince Henry of Prussia in 1911?,Windshield wipers,windshield wipers,0.009529330284232196,0.9904706697157678,0,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
12,How is musician William Lee Conley better known?,Big Bill Broonzy,Willie Jones,0.1416146875771046,0.8583853124228954,1,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
13,How is Joan Molinsky better known?,Joan Rivers,Joan Molinsky is better known as Joan Rivers.,0.4483366184317068,0.5516633815682932,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,3
14,In which branch of the arts is Patricia Neary famous?,Ballet,theatre,0.002966456581930177,0.9970335434180698,1,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
15,Which country is Europe's largest silk producer?,Italy,China,0.6158820017917959,0.38411799820820414,1,0.0,0.0,1.0,0.0,1,1.0,1
16,The VS-300 was a type of what?,Helicopter,headphone,0.34665039578829315,0.6533496042117068,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
17,At which university did Joseph Goebbels become a doctor of philosophy?,Heidelberg,University of Berlin,0.36885800402921765,0.6311419959707824,1,0.0,0.0,1.0,0.0,1,1.0,1
18,Which prince is Queen Elizabeth II's youngest son?,Edward,Andrew,0.5530888460298619,0.44691115397013814,1,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
19,When did the founder of Jehovah's Witnesses say the world would end?,1914,1975,0.34696988185844246,0.6530301181415575,1,0.0,0.0,1.0,0.0,1,1.0,1
20,Who found the remains of the Titanic?,Robert Ballard,Robert Ballard,0.2965016885830264,0.7034983114169736,0,0.0,0.0,1.0,0.0,1,1.0,1
21,Who was the only Spice Girl not to have a middle name?,Posh Spice,Scary Spice,0.42782337309933993,0.5721766269006601,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
22,What are the international registration letters of a vehicle from Algeria?,DZ,DK,0.0012090183407355015,0.9987909816592645,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,5
23,How did Jock die in Dallas?,Helicopter accident,heart attack,0.23724655254887506,0.7627534474511249,1,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
24,What star sign is Michael Caine?,Pisces,Aquarius,0.49227293754247037,0.5077270624575296,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
25,Who wrote the novel Evening Class?,Maeve Binchy,Vladimir Nabokov,0.0945518813487809,0.9054481186512191,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
26,Which country does the airline Air Pacific come from?,Fiji,Fiji,0.31612618548085025,0.6838738145191497,0,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
27,In which branch of the arts does Allegra Kent work?,Ballet,film,0.0009936097422884593,0.9990063902577115,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
28,"Who had a 70s No 1 hit with Billy, Don't Be A Hero?",Bo Donaldson & The Heywoods,Steppenwolf,0.10103510401203253,0.8989648959879675,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
29,Banting and Best pioneered the use of what?,Insulin,insulin,0.18451670035192036,0.8154832996480796,0,0.0,0.0,1.0,0.0,1,1.0,1
30,Who directed the movie La Dolce Vita?,Federico Fellini,Federico Fellini,0.6848473305874632,0.3151526694125369,0,0.0,0.0,1.0,0.0,1,1.0,1
31,Which country does the airline LACSA come from?,Costa Rica,Bolivia,0.0751923225037151,0.9248076774962849,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
32,Who directed 2001: A Space Odyssey?,Stanley Kubrick,Stanley Kubrick,0.4466853493352926,0.5533146506647074,0,0.0,0.0,1.0,0.0,1,1.0,1
33,Which is the largest of the Japanese Volcano Islands?,Iwo Jima,Kyushu,0.043237563797229206,0.9567624362027708,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
34,Ezzard Charles was a world champion in which sport?,Boxing,Boxing,0.5468942805269894,0.4531057194730106,0,0.0,0.0,1.0,0.0,1,1.0,1
35,Who was the first woman to make a solo flight across the Atlantic?,Amelia Earhart,Amelia Earhart,0.6769583527019752,0.32304164729802476,0,0.0,0.0,1.0,0.0,1,1.0,1
36,Which port lies between Puget Sound and Lake Washington?,Seattle,Seattle,0.006398191932515007,0.993601808067485,0,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
37,In which city were Rotary Clubs set up in 1905?,Chicago,chicago,0.1549893123390197,0.8450106876609803,0,0.0,0.0,1.0,0.0,1,1.0,1
38,Who became US Vice President when Spiro Agnew resigned?,Gerald Ford,Gerald Ford,0.7019989974299943,0.2980010025700057,0,0.0,0.0,1.0,0.0,1,1.0,2
39,In which decade of the 20th century was Billy Crystal born?,1940s,1948s,0.498438989195816,0.501561010804184,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
40,Which George invented the Kodak roll-film camera?,Eastman,George Eastman,0.42925422213436193,0.5707457778656381,1,0.0,0.0,1.0,0.0,1,1.0,1
41,Which series had the characters Felix Unger and Oscar Madison?,The Odd Couple,The Odd Couple,0.2785891698618147,0.7214108301381853,0,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
42,Who along with Philips developed the CD in the late 70s?,Sony,Sony,0.039489423883929176,0.9605105761160708,0,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
43,Where is the multinational Nestle based?,Switzerland,Switzerland,0.633153521017584,0.3668464789824159,0,0.0,0.0,1.0,0.0,1,1.0,1
44,Do You Know Where You're Going To? was the theme from which film?,Mahogany,Hook,0.1330858632966927,0.8669141367033073,1,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
45,19969 was the Chinese year of which creature?,Rat,Rat,0.13616983896212886,0.8638301610378711,0,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
46,In the 90s how many points have been awarded for finishing second in a Grand Prix?,6,25,0.715531135581998,0.28446886441800195,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
47,Stapleton international airport is in which US state?,Colorado,Tennessee,0.6539331029948207,0.34606689700517934,1,0.0,0.0,1.0,0.0,1,1.0,1
48,What was Kevin Kline's first movie?,Sophie's Choice,The Heart Is a Lonely Hunter,0.0484796620615936,0.9515203379384064,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
49,Which actor had a Doberman Pinscher called Kirk?,William Shatner,Paul Hogan,0.05417730847673119,0.9458226915232688,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
50,What day of the week was the Wall Street Crash?,Thursday,Friday,0.2136423418445138,0.7863576581554862,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
51,The US signed a treaty with which country to allow the construction of the Panama Canal?,Columbia,Panama,0.5945736808423112,0.40542631915768873,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
52,What was Prince's last No 1 of the 80s?,Batdance,The Final Cut,0.004793955821646101,0.9952060441783539,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
53,Man In The Mirror first featured on which Michel Jackson album?,Bad,Dangerous,0.3975621399274495,0.6024378600725505,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
54,Where was the first battle with US involvement in the Korean War?,Suwon,North Korea,0.012572196618330755,0.9874278033816692,1,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
55,On which Caribbean island did Princess Diana spend he first Christmas after her divorce was announced?,Barbuda,Saint Martin,0.21273534179215403,0.787264658207846,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,5
56,In which decade was Arnold Schwarzenegger born?,1950s,1940s,0.4982540020042563,0.5017459979957437,1,0.0,0.0,1.0,0.0,1,1.0,1
57,Which musical featured the song Thank Heaven for Little Girls?,Gigi,The Sound of Music,0.033229310912384236,0.9667706890876158,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
58,The Queen Elizabeth liner was destroyed by fire in the 70s in which harbour?,Hong Kong,Southampton,0.30939746262467605,0.690602537375324,1,0.0,0.0,1.0,0.0,1,1.0,1
59,What breed of dog did Columbo own?,Basset hound,Labrador Retriever,0.0565048956160904,0.9434951043839096,1,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
60,What was the first movie western called?,Kit Carson,The Big Sky,0.12158455086154618,0.8784154491384538,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
61,Which Oscar-winning actress was born on exactly the same day as actress Lindsay Wagner?,Meryl Streep,Kim Basinger,0.0460428152561998,0.9539571847438002,1,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
62,Which Amendment to the Constitution brought in prohibition in 1920?,18th,Eighteenth Amendment,0.5399450954987972,0.46005490450120284,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,3
63,Which oil scandal hit the US in 1924?,Teapot Dome Scandal,Algal oil scandal,0.07786856326815039,0.9221314367318496,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
64,Phil Collins appeared in which Spielberg film with Robin Williams?,Hook,Hook,0.46994809856046216,0.5300519014395378,0,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
65,1998 was the Chinese year of which creature?,Tiger,rat,0.09667829623921287,0.9033217037607871,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
66,Which country does musician Alfred Brendel come from?,Austria,Austria,0.4226460210114874,0.5773539789885126,0,0.0,0.0,1.0,0.0,1,1.0,1
67,Theodore Francis international airport is in which US state?,Rhode Island,Missouri,0.03093455647833998,0.96906544352166,1,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
68,In which soap did Demi Moore find fame?,General Hospital,Basic Instinct,0.09125730554003042,0.9087426944599696,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
69,"To the nearest million, what is the population of London, England?",7 million,9 million,0.6173044375873384,0.38269556241266156,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
70,What did Clarice Cliff create?,Pottery,Art pottery,0.20968123246280101,0.790318767537199,1,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,3
71,Which James Bond film features a song by Louis Armstrong?,On Her Majesty's Secret Service,Diamonds Are Forever,0.1701884576822965,0.8298115423177035,1,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
72,In what year were US ground troops first dispatched to Vietnam?,1965,1965,0.7289187605334172,0.2710812394665828,0,0.0,0.0,1.0,0.0,1,1.0,1
73,In 1999 Anna Kournikova signed a lucrative contract to model what?,Bras,tennis clothes,0.12212172587999881,0.8778782741200012,1,0.0,0.0,1.0,0.0,1,1.0,4
74,Which member of the Monkees came from Washington DC?,Peter Tork,Davy Jones,0.35850518680008603,0.641494813199914,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
75,Which ship was sunk by a German submarine in 1915 with a loss of 1400 lives including 128 Americans?,Lusitania,Lusitania,0.6166200527947667,0.38337994720523333,0,0.0,0.0,1.0,0.0,1,1.0,1
76,In what decade were video recorders first developed?,50s,1970s,0.43215521287792225,0.5678447871220778,1,0.0,0.0,1.0,0.0,1,1.0,1
77,Who had the noels Spy Hook and Spy Line published in the 80s?,Len Deighton,James Bond,0.05244823518023245,0.9475517648197676,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
78,the first credit cards were for use in what type of establishments?,Restaurants,restaurants,0.2968093705581215,0.7031906294418785,0,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
79,In which country was Ursula Andrews born?,Switzerland,United States,0.22516813962492577,0.7748318603750742,1,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
80,What was CBS TV news broadcaster Walter Cronkite's stock closing phrase?,And that's the way it is,on this day in history,0.051202873115319236,0.9487971268846808,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,5
81,Who had a 70s No 1 hit with Let Your Love Flow?,Bellamy Brothers,Stevie Wonder,0.2619242629806865,0.7380757370193135,1,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
82,Which state renewed Mike Tyson's boxing license in 1998?,Nevada,Kentucky,0.2520972113381784,0.7479027886618216,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
83,Neil Armstrong was a pilot in which war?,Korean,Vietnam War,0.6000583617547113,0.3999416382452887,1,0.0,0.0,1.0,0.0,1,1.0,1
84,Which English-born US citizen hosted Masterpiece theater?,Alistair Cooke,Jessica Lange,0.059063536248115334,0.9409364637518847,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
85,Nickelodeon was founded in 1979 by which company?,Warner Amex,Viacom,0.33337146486846125,0.6666285351315387,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
86,Which element along with polonium did the Curies discover?,Radium,radium,0.08057027473068568,0.9194297252693143,0,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
87,In The Banana Splits what sort of animal was Snorky?,Elephant,Monkey,0.0038099825958031186,0.9961900174041969,1,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
88,Who had an 80s No 1 hit with Can't Fight This Feeling?,REO Speedwagon,The Foundations,0.003363159784916192,0.9966368402150838,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
89,Which parallel was the truce line in the Korean War?,38th Parallel,38th parallel,0.4962569317153137,0.5037430682846863,0,0.0,0.0,1.0,0.0,1,1.0,1
90,On a computer keyboard which letter is between A and D?,S,B,0.6403294575965113,0.3596705424034888,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
91,"Which musical featured the song Flash Bang, Wallop?",Half,Mousetrap Mousetrap Mousetrap Mousetrap Mousetrap,0.2293650912562647,0.7706349087437353,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
92,What was Hitchcock's first sound movie?,Blackmail,The Man Who Knew Too Much,0.21375131727195096,0.786248682728049,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
93,Which newspaper did Jackie Kennedy work for just before her marriage?,Washington Times Herald,The Daily News,0.048240165684249714,0.9517598343157503,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
94,What are the international registration letters of a vehicle from Turkey?,TR,TR,0.499597887269576,0.500402112730424,0,0.0,0.0,1.0,0.0,1,1.0,1
95,Who wrote The Turn Of The Screw in the 19th century and The Ambassadors in the 20th?,Henry James,Henry James,0.6787710876667082,0.32122891233329176,0,0.0,0.0,1.0,0.0,1,1.0,1
96,Which American nuclear submarine was the first to sail across the North Pole under the ice cap?,Nautilus,USS Nautiluss,0.07372122103222156,0.9262787789677784,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
97,What was John Glenn/'s first spacecraft called?,Friendship 7,Friendship 7,0.7312539917442957,0.2687460082557042,0,0.0,0.0,1.0,0.0,1,1.0,1
98,Which branch of medicine is concerned with disorders of the blood?,Haematology,Hematology,0.3998334210685721,0.6001665789314279,1,0.0,0.0,1.0,0.0,1,1.0,1
99,Where was The Iron Triangle?,Vietnam,Detroit,0.0005492387775626328,0.9994507612224374,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
100,What is the correct name of laughing gas?,Nitrous oxide,Nitrous oxide,0.5652655684393335,0.43473443156066643,0,0.0,0.0,1.0,0.0,1,1.0,1
