id,question,reference_answer,generated_answer,non_hallucination_probability,hallucination_probability,actual_label,semantic_entropy,normalized_entropy,semantic_consistency,semantic_hallucination_score,number_of_clusters,largest_cluster_ratio,unique_answer_count
24,What was Orson Welles’ first film?,CITIZEN KANE,Citizen Kane,0.572817906010737,0.42718209398926293,0,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
25,"""According to the opening line of T.S. Eliot's poem 'The Wasteland', which is """"the cruellest month""""?""",APRIL,April,0.6290425770362011,0.37095742296379886,0,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
26,What are Ponte Vecchio and Pont Neuf?,Bridges,Bridges,0.5450716711924437,0.45492832880755635,0,0.0,0.0,1.0,0.0,1,1.0,1
27,Which year was renowned as ‘The Year of Revolutions’?,1848,1989,0.7568063583705897,0.24319364162941023,1,0.0,0.0,1.0,0.0,1,1.0,1
28,Who played the mad legless Captain Rum in the second series of Blackadder?,Tom Baker,Rowan Atkinson,0.2764513767889849,0.7235486232110151,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
29,"Which musical, for long entrenched at the Palace theatre in London, is currently running at the Queens theatre ?",LES MISERABLES,Matilda The Musical,0.09192338396102706,0.9080766160389729,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
30,"""What insect acts as the transmitting agent in the spread of the infectious disease """"Bubonic Plague""""?""",FLEA,Flea,0.42871614854741835,0.5712838514525816,0,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
31,Who was born Vera Margaret Welsh on 20th March 1917?,Vera Lynne,Vera Taylor,0.09540763485551929,0.9045923651444807,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
32,"Castor (or castoreum) is an oily substance secreted by which animal, and historically used in medicine and perfume?",Beaver,Castor (or castoreum) is an oily substance secreted by,0.8671697962389648,0.1328302037610351,1,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
33,Who did Jai McDowall beat in this years final of Britain's Got Talent?,Ronan Parke,Sophie Christianson,0.012721518389903985,0.987278481610096,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,5
34,The staging of what enormous annual Afro-Caribbean cultural gathering was put in doubt following the London riots of August 2011?,Notting Hill Carnival,Notting Hill Carnival,0.3458193379953196,0.6541806620046804,0,0.0,0.0,1.0,0.0,1,1.0,1
35,Kronos (or Cronus) was the Greek equivalent of which Roman god?,Saturn,Saturn,0.08021238211906234,0.9197876178809377,0,0.0,0.0,1.0,0.0,1,1.0,1
36,What was the capital of West Germany?,Bonn,Berlin,0.15616516796118796,0.843834832038812,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
37,In which year did the liner Queen Mary gain the blue riband on her maiden voyage?,1936,1936,0.06747421754100236,0.9325257824589976,0,0.0,0.0,1.0,0.0,1,1.0,1
38,'Simon Tappertit' appears in which novel by Charles Dickens?,'BARNABY RUDGE',Barnaby Rudge,0.6273420192447277,0.3726579807552724,0,0.0,0.0,1.0,0.0,1,1.0,1
39,"Which film starring Bill Murray includes the line Roses are red, violets are blue, I'm a schizophrenic and so am I?",What About Bob,Groundhog Day,0.18387967614508394,0.8161203238549161,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
40,What beer was advertised with the slogan Reach for Greatness,Bass,Yuengling,0.12309698860256935,0.8769030113974307,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
41,"House, Hogline, Hacks and Button are all terms used in which sport?",Curling,Equestrian,0.14538994592204257,0.8546100540779574,1,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
42,What is the name of the policeman in The Noddy stories,P.C. Plod,Noddy,0.043709487520772417,0.9562905124792276,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
43,"""Who is """"able to leap tall buildings in a single bound""""?""",Superman,Batman,0.41197987281228055,0.5880201271877195,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
44,"Name the popular writer, who died in 2010, and who rode the Queen Mother's horse Devon Loch when it inexplicably belly-flopped out of contention in the 1956 Grand National?",Dick Francis,Ericsson,0.011797599037341344,0.9882024009626587,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
45,During which year did the UK television series ‘Emmerdale Farm’ change its title to ‘Emmerdale’?,1989,1986,0.5584272425201764,0.4415727574798236,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
46,What atmospheric layer is damaged by chlorofluorocarbons?,Ozone Layer,Stratosphere,0.04992532743988176,0.9500746725601182,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
47,In which country did Idi Amin settle and die after his exile from Uganda?,Saudi Arabia,Tanzania,0.10691991072604701,0.893080089273953,1,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
48,Which ancient relic was stolen by Scottish Activists from Westminster Abbey and returned to Scotland on Christmas day in 1950?,Stone of Scone,The Stone of Scone,0.07128285595508832,0.9287171440449117,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
49,The cha-cha-cha is a dance developed from the mambo in 1950 in which country?,CUBA,Cuba,0.47242900497157525,0.5275709950284247,0,0.0,0.0,1.0,0.0,1,1.0,1
50,Where in the body is the stapes bone?,EAR,Inner ear,0.26026731024715366,0.7397326897528463,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,3
51,For which minor sport do the USA and Europe compete annually for the Mosconi Cup?,POOL,Table tennis,0.19836239958121182,0.8016376004187882,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
52,Nicky Morgan is the current Secretary of State of which Government Department?,Education,Department of Health,0.48495531722840146,0.5150446827715985,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
53,What is the art of decorating materials with marks resulting from the controlled application of a heated object?,Pyrography,Enameling,0.08800635351895081,0.9119936464810492,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,3
54,In which event did Amy Williams win a gold medal for Britain at the 2010 Winter Olympics?,Women’s skeleton,Shortest Answer: Shortest Answer: Shortest Answer: Shortest Answer,0.04339530204083675,0.9566046979591633,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
55,What colour is the flesh of a lychee?,White,Red,0.37041414755701885,0.6295858524429812,1,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
56,"Which US singer has had albums called 'Daydream', 'Butterfly', 'Rainbow' and 'Glitter'?",Mariah Carey,Whitney Houston,0.09978697582352203,0.900213024176478,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
57,Who was Jessica Rabbit's husband?,Roger Rabbit,Bobo Rabbit,0.049123147318147486,0.9508768526818525,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
58,Which composer's music forms the basis of the ballet Pineapple Poll?,SULLIVAN,Aaron Copland,0.06589306781427584,0.9341069321857242,1,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
59,"Which singer appears as bar-owner 'JD' in the film 'Lock, Stock and two Smoking Barrels'?",Sting,Steve McQueen,0.09167293434305146,0.9083270656569485,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
60,"In the final Harry Potter novel, who becomes headmaster of Hogwarts School?",Severus Snape,Albus Dumbledore,0.5533191190597548,0.4466808809402452,1,0.0,0.0,1.0,0.0,1,1.0,2
61,Who wrote the play 'Private Lives'?,Noel Coward,Jean-Paul Sartre,0.18547686491888515,0.8145231350811148,1,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
62,In which North African country was Yves St. Laurent born as Henri Donat Mathieu?,Algeria,France,0.3753519992818303,0.6246480007181697,1,0.0,0.0,1.0,0.0,1,1.0,1
63,"In the George Orwell novel Animal Farm, what sort of animal was Napoleon ?",PIG,Pig,0.5206460927921088,0.47935390720789123,0,0.0,0.0,1.0,0.0,1,1.0,1
64,Who wrote the books ‘The Good Companions’ and ‘An Inspector Calls’?,J.B. Priestly,George Bernard Shaw,0.0936944793217852,0.9063055206782148,1,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
65,"Which nickname was given to the American WWII general, George Patton?",BLOOD and GUTS,Old Blood and Guts,0.7025500952470024,0.2974499047529976,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
66,What language did the Pennsylvania Dutch speak?,German,German,0.625773412078152,0.3742265879218481,0,0.0,0.0,1.0,0.0,1,1.0,1
67,Which Indian tribe did Sitting Bull belong to?,Sioux,Hunkpapa Lakota,0.7136307074910282,0.28636929250897186,1,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
68,"On this day, 8th November, which famous poet who was blind in his later years, died in his home in London in 1647?",JOHN MILTON,John Milton,0.7042616514846591,0.29573834851534087,0,0.0,0.0,1.0,0.0,1,1.0,1
69,"The wood from which common tree was traditionally used to make tennis racquets, snooker cues and hockey sticks",Ash,Willow,0.3459101421172106,0.6540898578827894,1,0.0,0.0,1.0,0.0,1,1.0,2
70,Who was the son of King John and Isabella of Angoulme who became King of England when 9 years old?,Henry III,Richard II,0.16095502041503862,0.8390449795849614,1,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
71,"Which country was proclaimed a republic in 1867, following the withdrawal of the French administration and the execution of Emperor Ferdinand Maximilian?",Mexico,Mexico,0.500317616955383,0.499682383044617,0,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
72,Which Grand Slam tournament uses the distinctive serving pose of the Swedish player Stefan Edberg on its logo?,Australian Open,Australian Open,0.07623700341069994,0.9237629965893001,0,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
73,Who acceded the English throne after the death of Edward III?,RICHARD II,Richard II,0.7184294444415431,0.28157055555845695,0,0.0,0.0,1.0,0.0,1,1.0,1
74,"What Latin term is used to mean 'word for word', or 'exactly the same words'?",Verbatim,Verbatim,0.042445958757944546,0.9575540412420555,0,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,4
75,The green jersey is worn by the Tour de France's?,Best sprinter,General classification leader,0.38258156812031663,0.6174184318796834,1,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
76,How many apostles are there in the painting ‘The Last Supper’ by Leonardo da Vinci?,12,Twelve,0.08678785588794957,0.9132121441120504,1,0.0,0.0,1.0,0.0,1,1.0,1
77,In which country did the Contras battle the Sandinistas throughout most of the 1980s?,Nicaragua,Nicaragua,0.6396015030883411,0.3603984969116589,0,0.0,0.0,1.0,0.0,1,1.0,1
78,"""Who starred as AC Slater in """"Saved by the Bell""""?""",Mario Lopez,Slater,0.13651476162723297,0.863485238372767,1,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
79,"In May 2009, Millvina Dean died aged 97. She was the last survivor of which historic event?",The sinking of the Titanic,Titanic,0.4232236151836869,0.5767763848163131,1,0.0,0.0,1.0,0.0,1,1.0,4
80,What country do Legos come from originally?,Denmark,Denmark,0.676707490727604,0.32329250927239594,0,0.0,0.0,1.0,0.0,1,1.0,1
81,Which was the 50th and last state to become part of the USA?,Hawaii,Hawaii,0.5031887152140228,0.49681128478597725,0,0.0,0.0,1.0,0.0,1,1.0,1
82,"Who wrote the music for 'Billy Elliot, The Musical'?",ELTON JOHN,Elton John,0.28563902418513887,0.7143609758148611,0,0.0,0.0,1.0,0.0,1,1.0,1
83,"Seals, sea lions and walrus belong to which suborder of manunals?",PINNIPEDIA,Pinnipedia,0.7885748515411231,0.21142514845887692,0,0.0,0.0,1.0,0.0,1,1.0,1
84,"Held just outside Bridgeville, DE, Friday marks the start of the world championship in the art of throwing what for distance, using classes such as Air, Centrifugal, Catapult, Trebuchet, and Human Powered?",Pumpkins,Javelin,0.4726360345898034,0.5273639654101966,1,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
85,How are comedians Paul & Barry Elliot better known?,THE CHUCKLE BROTHERS,Paul & Barry Elliot are better known as The Two Escapists,0.016876730671990803,0.9831232693280092,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
86,Which Greek goddess is the muse of erotic poetry?,Erato,Eros,0.4482237188653152,0.5517762811346848,1,0.6730116670092565,0.9709505944546688,0.029049405545331197,0.9709505944546688,2,0.6,2
87,What was the name of the dog in Enid Blighton's Famous Five books?,Timmy.,Timmy,0.07666073200254109,0.9233392679974589,0,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,4
88,What dangerous type of horse race involves jumping over various fences and ditches?,Steeplechase,Jumping,0.08488451272907105,0.915115487270929,1,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
89,A pride is a group of what type of animal?,Lion,Lion,0.3561401393240544,0.6438598606759456,0,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
90,The Cantonese/Chinese dish 'foo yong' (also 'fu young') is similar to?,Omelette,dim sum,0.1368513453660275,0.8631486546339725,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
91,"Prudhoe Bay Oil Field, the largest in North America, is in which US state?",ALASKA,Alaska,0.21620346503760413,0.7837965349623959,0,0.0,0.0,1.0,0.0,1,1.0,1
92,"What is a large semi-aquatic rodent native to Canada, much of the United States, and parts of northern Mexico that constructs homes out of sticks, twigs, and mud in lakes or streams?",Beaver,beaver,0.5399582494481664,0.4600417505518336,0,0.0,0.0,1.0,0.0,1,1.0,1
93,The Biba boutiques were at the heart of swinging London and at one time had the highest turnover of any British retail company. Who founded and ran Biba?,Barbara Hulanicki,Ossie Clark,0.5739620654140791,0.42603793458592093,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
94,Mjosa (more precisely Mjøsa) is the largest lake of which country?,Norway,Norway,0.1241823122823883,0.8758176877176117,0,0.0,0.0,1.0,0.0,1,1.0,1
95,Which US President was known as 'The Rail-Splitter' and 'The Great Emancipator'?,ABRAHAM LINCOLN,Abraham Lincoln,0.6478204211761527,0.35217957882384726,0,0.0,0.0,1.0,0.0,1,1.0,1
96,Which London museum occupies part of the old Bethlehem Royal Hospital?,IMPERIAL WAR MUSEUM,The Museum of London Hospital,0.19699617350516563,0.8030038264948344,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
97,What is the flavour of the liqueur Amaretto?,Almond,almond,0.42928949508043523,0.5707105049195648,0,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
98,How often is the Oberammergau Passion Play performed?,EVERY TEN YEARS,annually,0.331041102456199,0.668958897543801,1,0.0,0.0,1.0,0.0,1,1.0,1
99,Whose cottage is on the left of the Constable painting The Hay Wain?,WILLY LOTT,Turner's,0.5133252022384908,0.48667479776150924,1,0.0,0.0,1.0,0.0,1,1.0,1
100,‘Wot a lot I got’ was the advertising slogan for which confectionery items?,Smarties,Smarties,0.07359561400177961,0.9264043859982204,0,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,4
101,What is a cricket umpire signalling when he holds out one arm horizontally?,No Ball,wide,0.05898774904395221,0.9410122509560478,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,3
102,"What is a mixture of saturated aliphatic and alicyclic C7 to C12 hydrocarbons with a maximum content of 25% of C7 to C12 alkyl aromatic hydrocarbons, which is used as an extraction, cleaning and degreasing solvent, and as a solvent in aerosols, paints, wood preservatives, lacquers, varnishes, and asphalt products?",White spirit,Solvent Blend 3000,0.028928773709007594,0.9710712262909924,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
103,Who won the World Darts Championship 4 times in the 1980s?,Eric Bristow,Phil Taylor,0.20364067133054742,0.7963593286694526,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
104,"Which river rises on the Tibetan Plateau, flows northwest and then south and southwest to enter the Arabian Gulf in the Seven Rivers area south of Karachi?",INDUS,Indus River,0.21786933661248165,0.7821306633875184,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
105,In which city is the HQ of Volkswagen cars?,Wolfsburg,Wolfsburg,0.509672421090832,0.490327578909168,0,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
106,"""Which American pop singer/songwriter who won the first season of the television series American Idol in 2002 won two Grammy Awards in 2006 - for her album """"Breakaway"""" and the single """"Since U Been Gone""""?""",Kelly Clarkson,Kelly Clarkson,0.4637286455298967,0.5362713544701033,0,0.0,0.0,1.0,0.0,1,1.0,1
107,"The wreck of which warship, one of the largest in the English navy of King Henry VIII in the first half of the 16th century, was rediscovered in 1971 and salvaged in October 1982?",Mary Rose,Mary Rose,0.6055675934531636,0.3944324065468364,0,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
108,What seven-letter word means “A Russian tea urn”?,samovar,samovar,0.24238479362439513,0.7576152063756049,0,0.0,0.0,1.0,0.0,1,1.0,1
109,What are the first names of David and Victoria Beckham’s daughter?,Harper Seven,Brooklyn,0.20873338768987115,0.7912666123101288,1,0.0,0.0,1.0,0.0,1,1.0,1
110,"Which Roman writer, best known for his Natural History (Naturalis Historic), died during the eruption of Vesuvius in 79AD?",Pliny,Pliny the Elder,0.598653920009794,0.401346079990206,1,0.0,0.0,1.0,0.0,1,1.0,1
111,"Gary Numan, Cliff Richard and Crystal Gayle were all born with which surname?",Webb,Numan,0.10032369561517995,0.89967630438482,1,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
112,"Because it was worn by recently freed slaves in Ancient Rome, what cap became the symbol of liberty?",Pileus,Phrygian cap,0.7179367872850426,0.2820632127149573,1,0.0,0.0,1.0,0.0,1,1.0,1
113,"What form of bridge is Tower Bridge, London?",Bascule,Tower Bridge is a bascule bridge.,0.18907841005456316,0.8109215899454368,1,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,5
114,"Published in 2011, 'The House of Silk' is the first new official Sherlock Holmes mystery and was written by which author who has won many awards for his children's books?",ANTHONY HOROWITZ,Alex Rider,0.06101999983762607,0.9389800001623739,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
115,Harrison Ford was working as what before his first big break as a film actor?,Carpenter,stuntman,0.026410788887277215,0.9735892111127228,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
116,What type of animal is a shell-less gastropod?,Slug,Snail,0.2568575989348135,0.7431424010651865,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,3
117,"The Finch family of Maycomb, Alabama feature in which 1960 novel?",To Kill A Mockingbird,To Kill a Mockingbird,0.5672815796505455,0.4327184203494545,0,0.0,0.0,1.0,0.0,1,1.0,1
118,"Which Venetian artist, real name Jacopo Robusti, painted “The Origin of the Milky Way”?",Tintoretto,Jacopo Robusti Passignano,0.07289033643192544,0.9271096635680746,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
119,To which James Bond film did Nancy Sinatra sing the theme tune?,You Only Live Twice,You Only Live Twice,0.42611725667871714,0.5738827433212829,0,0.0,0.0,1.0,0.0,1,1.0,1
120,Which American President was the teddy bear named after?,Theodore Roosevelt,Teddy Roosevelt,0.7775523076619176,0.2224476923380824,1,0.0,0.0,1.0,0.0,1,1.0,1
121,What country had the Roman name Hibernia?,Ireland,Ireland,0.13711950141659335,0.8628804985834067,0,0.0,0.0,1.0,0.0,1,1.0,1
122,Who won a Gold Medal for Britain in the men’s 100 metres at the 1992 Summer Olympic Games in Barcelona?,Linford Christie,Colin Jackson,0.3050701651152935,0.6949298348847065,1,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
123,Which was the second city to host the modern Olympic Games?,PARIS,Athens,0.05171828666002409,0.9482817133399759,1,0.0,0.0,1.0,0.0,1,1.0,2
124,The White Stripes 2003 hit single I Just Don't Know What To Do With Myself was originally a hit in 1964 for which female singer?,Dusty Springfield,Etta James,0.08245069103395242,0.9175493089660476,1,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
125,"Coriolanus Snow, Peeta Mellark and Haymitch Abernathy are characters in which series of books?",The Hunger Games,Hunger Games,0.12382447420725884,0.8761755257927412,1,0.0,0.0,1.0,0.0,1,1.0,3
126,"What American boxer, who celebrated his birthday on Monday, is the first in history to win 5 world titles in 5 different weight classes, and was nicknamed The Motor City Cobra or The Hitman?",Thomas Hearns,Mike Tyson,0.13963652489596956,0.8603634751040304,1,1.0549201679861442,0.9602297178607612,0.03977028213923883,0.9602297178607612,3,0.4,3
127,Which country is the world's largest producer of rice?,China,China,0.5380253872633899,0.4619746127366101,0,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
128,"Starting in Hong Kong and digging directly through the center of the Earth, in what country would you emerge?",Argentina,Mongolia,0.17329541756857325,0.8267045824314267,1,0.9502705392332347,0.8649735207179272,0.1350264792820728,0.8649735207179272,3,0.6,3
129,"""Which TV character had the catchphrase """"Listen very carefully; I shall say zis only once""""?""",Michelle,Yogi Bear,0.1695380224181382,0.8304619775818618,1,1.3321790402101223,0.9609640474436812,0.039035952556318754,0.9609640474436812,4,0.4,4
130,Who is the only member of Winston Churchill’s Government (a Parliamentary Secretary of Agriculture) who is still alive (95 years)?,LORD CARRINGTON,Leonard Sturrock,0.010774321497780459,0.9892256785022195,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
131,"Chartwell, the former home of Winston Churchill is in which county?",Kent,Kent,0.5284143103039932,0.4715856896960068,0,0.0,0.0,1.0,0.0,1,1.0,1
132,What musical instrument has the nickname 'the devil's box'?,Violin,harmonica,0.1657169003238138,0.8342830996761862,1,1.6094379124341005,1.0,0.0,1.0,5,0.2,5
133,In which country is Verdi's opera 'Aida' set?,EGYPT,Egypt,0.10745535008434082,0.8925446499156592,0,0.5004024235381879,0.7219280948873623,0.2780719051126377,0.7219280948873623,2,0.8,2
