id,question,reference_answer
63,Which oil scandal hit the US in 1924?,Teapot Dome Scandal
64,Phil Collins appeared in which Spielberg film with Robin Williams?,Hook
65,1998 was the Chinese year of which creature?,Tiger
66,Which country does musician Alfred Brendel come from?,Austria
67,Theodore Francis international airport is in which US state?,Rhode Island
68,In which soap did Demi Moore find fame?,General Hospital
69,"To the nearest million, what is the population of London, England?",7 million
70,What did Clarice Cliff create?,Pottery
71,Which James Bond film features a song by Louis Armstrong?,On Her Majesty's Secret Service
72,In what year were US ground troops first dispatched to Vietnam?,1965
73,In 1999 Anna Kournikova signed a lucrative contract to model what?,Bras
74,Which member of the Monkees came from Washington DC?,Peter Tork
75,Which ship was sunk by a German submarine in 1915 with a loss of 1400 lives including 128 Americans?,Lusitania
76,In what decade were video recorders first developed?,50s
77,Who had the noels Spy Hook and Spy Line published in the 80s?,Len Deighton
78,the first credit cards were for use in what type of establishments?,Restaurants
79,In which country was Ursula Andrews born?,Switzerland
80,What was CBS TV news broadcaster Walter Cronkite's stock closing phrase?,And that's the way it is
81,Who had a 70s No 1 hit with Let Your Love Flow?,Bellamy Brothers
82,Which state renewed Mike Tyson's boxing license in 1998?,Nevada
83,Neil Armstrong was a pilot in which war?,Korean
84,Which English-born US citizen hosted Masterpiece theater?,Alistair Cooke
85,Nickelodeon was founded in 1979 by which company?,Warner Amex
86,Which element along with polonium did the Curies discover?,Radium
87,In The Banana Splits what sort of animal was Snorky?,Elephant
88,Who had an 80s No 1 hit with Can't Fight This Feeling?,REO Speedwagon
89,Which parallel was the truce line in the Korean War?,38th Parallel
90,On a computer keyboard which letter is between A and D?,S
91,"Which musical featured the song Flash Bang, Wallop?",Half
92,What was Hitchcock's first sound movie?,Blackmail
93,Which newspaper did Jackie Kennedy work for just before her marriage?,Washington Times Herald
94,What are the international registration letters of a vehicle from Turkey?,TR
95,Who wrote The Turn Of The Screw in the 19th century and The Ambassadors in the 20th?,Henry James
96,Which American nuclear submarine was the first to sail across the North Pole under the ice cap?,Nautilus
97,What was John Glenn/'s first spacecraft called?,Friendship 7
98,Which branch of medicine is concerned with disorders of the blood?,Haematology
99,Where was The Iron Triangle?,Vietnam
100,What is the correct name of laughing gas?,Nitrous oxide
