id,question,reference_answer
139,Who played Nick Fury in the made for TV movie of the same name?,David Hasselhoff
140,Who was the first female singer with two UK million selling singles?,CELINE DION
141,In which sport did Dave Prowse ('Darth Vader') represent England at the 1962 Commonwealth Games?,WEIGHTLIFTING
142,What was the original UK name of the chocolate bar which de-anglicised its name in 2006?,Dime
143,Whirligig and Longhorn are types of which creature?,BEETLE
144,"Pearl Roundabout was the scene of political protests during 2011, in which country is it?",Bahrain
145,The Costa Smeralda (or Emerald Coast) is a feature of which Mediterranean island?,SARDINIA
146,Who was the mother of King Henry VI of England ?,CATHERINE OF VALOIS
147,Which French king was the husband of Marie Antoinette?,King Louis XVI
148,"""""""The Last Man In Europe"""" was the working title of which novel?""",1984
149,Tataouine in Tunisia was the setting for many scenes in the movies of which blockbuster franchise?,Star Wars franchise
150,Edward Fairfax Rochester is a character in which 19th century novel?,JANE EYRE
151,The Inverted Jenny depicts an upside down plane and is worth almost a million dollars. What is it?,a Stamp
152,What is the name of the wizard who runs the Hogwarts School of Witchcraft and Wizardry in the Harry Potter books and films?,Dumbledore
153,Newport on the Isle of Wight stands on which river?,The Medina
154,"Officially designated the M9, what was the unofficial name of the shoulder fired rocket deployed by US soldiers during WWII?",Bazooka
155,"What is claimed to be the fastest bird in level flight, (though its record is in dispute from supporters of the White-throated Needletail)?",Red-breasted Merganser
156,Who along with Philips developed the CD in the late 70s?,Sony
157,"Shrimps, barnacles, scorpions, spiders, etc., all belong to which phylum?",Arthropods
158,Colomba Pasquale (or Easter Dove) is a traditional Easter cake which originated from which country?,Italy
159,Who wrote the play Arms and the Man?,GEORGE BERNARD SHAW
160,"""The first rule of fight club is you do not talk about fight club"". What is the second rule?",You DO NOT talk about Fight Club!
161,What is the chemical symbol for sodium,Na
162,What type of creature is a lumpsucker?,Fish
163,In which sport is the Uber Cup presented?,Badminton
164,"In humans, the right lung is divided into how many lobes?",Three
165,Harrisburg is the capital of which US state?,Pennsylvania
166,"Vanessa Vankorn represented Thailand in a skiing event at the 2014 Winter Olympic Games, under what professional name is she better known?",Vanessa-Mae
167,Which was the first National Park in the United States of America?,YELLOWSTONE
168,Which English city is the setting for the film 'East Is East'?,SALFORD
169,What city was the sewerage system built by Sir Joseph Bazalgette in the late 19th century designed to serve?,"London, UK"
170,What is the currency of Malaysia?,RINGGIT
171,How are Felix Ungar and Oscar Madison described in the title of a play by Neil Simon?,THE ODD COUPLE
172,In which town or city is the University of Abertay?,Dundee
173,Where do littoral creatures live?,Shoreline
174,"What is Niccolo Machiavelli's famously fascinating book on the art of political leadership, published in 1532?",The Prince
175,"""What novel, alternatively entitled """"There and Back Again"""", is a fantasy novel by J R R Tolkien, published in September 1937?""",The Hobbit
176,"In Scotland, Burns Night is celebrated during which month of the year?",January
177,Mary Anne Evans was the real name of which famous novelist?,GEORGE ELIOT
178,What is the common name for a lepidoptera pupa and its silky cocoon?,Chrysalis
179,Which artist painted a portrait of Sir Winston Churchill that was later destroyed by Lady Churchill?,GRAHAM SUTHERLAND
180,Who was chairman of the Watergate hearings?,Sam Ervin
181,“When You Wish Upon a Star” was recorded for what classic Disney film?,Pinocchio
182,Which Prime Minister signed the Common Market membership treaty?,EDWARD HEATH
183,Of Mice And Men is a novel by which American novelist?,John Steinbeck
184,In which year was the Panama Canal opened?,1914
185,"Where, 25 miles West of Knoxville, Tennessee, was an Atomic Bomb Research Station set up in 1942?",Oak Ridge
186,Which country lies between Zimbabwe and the sea,Mozambique
187,"Serbian Pule cheese, said to be the world's most expensive is made from the milk of what animal",Donkey
188,Hamelin is on which river?,Weser
189,Henrietta Maria was the French wife of which British monarch?,King Charles I
190,With which athletics field event is Jan Zelezny associated?,Javelin
191,What is the name of the effect that deflects winds and currents as a result of the Earth's rotation?,The Coriolus Effect
192,"""In which Shakespeare comedy does 'Theseus' speak the opening line: """"Now fair Hippolyta, our nuptial hour draws apace""""?""",'A MIDSUMMER NIGHT'S DREAM'
193,William Howard Russell became famous as what during the Crimean War?,War Correspondent
194,The global collection of what is stored in a vault in Svalbard on the Norwegian island of Spitsbergen?,Seeds
195,Which Scottish loch is the largest in area?,Loch Lomond
196,"What is the surname of Aleksandr, the chief meerkat in the comparethemarket.com ads?",Orlov
197,"What Swiss psychologist conceived 'extraversion' and 'introversion', and personality tendencies of intuition, sensing, feeling and thinking?",Carl Jung
198,"""In the USA between 1852 and 1883, who were Reelfoot Williams, Tom Bell, Rattlesnake Dick and Charles Bolles (a.k.a. """"Black Bart"""")?""",Stagecoach robbers
199,"In 2003, which planet passed 55.76 million km from earth, the closest since the Stone Age?",Mars
200,Six of the world's top ten highest waterfalls are in which country?,NORWAY
201,What was the name for a form of stencil duplicator used for making numerous copies of a document?,Mimeograph
202,What links the ship Dr Crippen was caught on in 1910 and a coastal resort town in Scotland?,Montrose
203,Which pair of time travellers declared Joan of Arc was the wife of Noah?,Bill and Ted
204,In which sea is the Great Barrier Reef?,Coral Sea
205,"Which large-flowered plant is named after Paeon/Paean, Greek god of medicine and healing?",Peony
206,In which American state is Martha's Vineyard,Massachusetts
207,the Naked Civil Servant starred which character?.,Quentin Crisp
208,Rugby league. Which European Super League team are known as the ‘Giants’?,Huddersfield
209,Who was the beautiful sister of the twins Castor and Pollux and mother to Hermione?,Helen of Troy
210,"What disease claimed the life of notorious American gangster, Al Capone?",SYPHILIS
211,"In the sitcom Terry and June, what was the title characters surname?",Medford
212,"Also known as mother's ruin, which alcoholic drink is distilled from juniper berries?",Gin
213,"Which BAFTA award winning British drama series follows the work of a group of MI5 intelligence officers based at the service's Thames House headquarters, in a highly secure suite of offices known as 'The Grid'?",'SPOOKS'
214,On what material was the Mona Lisa painted?,Poplar Wood
215,Which astronomer proposed the theory of the expanding universe?,Edwin Hubble
216,What nation is scheduled to host the 2022 World Cup?,Qatar
217,Who was the Republican candidate who lost the Presidential election to Barack Obama in 2012?,Mitt Romney
218,Which type of spaniel takes its name from a stately home in Nottinghamshire?,Clumber
219,"Which island in the Inner Hebrides became a burial place for several kings of Scotland, Ireland and Norway?",IONA
220,"""During World War II, in north Africa, who was known as """"The Desert Fox""""?""",Erwin Rommel
221,"Which scientist was the first, in 1888, to demonstrate the existence of electromagnetic waves?",(Heinrich Rudolf) HERTZ
222,"""Who hosted the travel programmes """"Around the World in 80 Days"""" (1989), """"Pole to Pole"""" (1992), """"Full Circle"""" (1997), and """"Hemingway Adventure"""" (1999)?""",Michael Palin
223,"""What best-selling book was orginally a work of """"Twilight"""" fan fiction?""",Fifty Shades of Grey
224,What is the worlds most common blood type?,Type O
225,Which constellation features on the flag of Papua New Guinea?,Southern Cross
226,Which Canadian/American novelist won the Nobel Prize for Literature in 1976?,SAUL BELLOW
227,‘Duck and dive’ represents which number in the game of Bingo?,25
228,In which Asian country is the resort of Pattaya?,Thailand
229,How many players are on the court in a korfball team?,Eight
230,Who succeeded Trajan as Roman Emperor in 117 AD,Hadrian
231,Which former ‘TOWIE’ star thought that Ebola virus was the name of a pop group?,AMY CHILDS
232,Which country ended its combat role in Iraq on 1 June 2008 with the withdrawal of its 500 troops from Nasiriyah?,Australia
233,"Which country is bordered by Georgia to the north, Turkey to the west and Azerbaijan to the east?",ARMENIA
234,The Jigsaw Serial Killer is a fictional character in which series of horror films?,Saw
235,Who was captain of the England men's cricket team during the 2015 One Day International World Cup?,Eoin) MORGAN
236,What number Star Trek movie was called The Wrath of Khan?,II
237,Where is the volcano Olympus Mons?,On Mars
238,What is the name of the Government laboratory at the centre of the outbreak of foot and mouth disease in 2007?,PIRBRIGHT
239,"Medicine: What is a patient suffering from, based on the following description - Partial or complete blockage of a blood vessel by a blood clot?",THROMBOSIS
240,"Which European country is often referred to as ‘The Hexagon’,  because of its geometric shape?",France
241,Which is the only letter of the alphabet that does not appear in the name of any of the states of America?,Q
242,What is the symbol for a fifth wedding anniversary?,Wood
243,In which US state did Bill Gates found Microsoft in April 1975?,New Mexico
244,Who became Vice-President of the USA in December 1973?,Gerald Ford
245,Which 80s sitcom starred Penelope Wilton as Ann Bryce and Peter Egan as Paul Ryman?,EVER DECREASING CIRCLES
246,"July 2, 1961 saw Nobel Prize winner Ernest Hemingway commit suicide at his farm in Ketchum in what state?",Idaho
247,'II Dolce' refers to what in an Italian restaurant?,Dessert
248,Who was the 'father of medicine' to whom a code of medical ethics is attributed and which bears his name?,Hippocrates
249,Which planet when discovered was originally called the Georgian planet?,URANUS
250,Which North Sea port lies at the mouth of the Riyer Esk?,WHITBY
251,The American Football Super Bowl final in 2012 is branded by what Roman numerals?,XLVI
252,Goat Fell is the name of hole number 8 on the Ailsa Course at which Open Championship Golf venue?,TURNBERRY
253,Sabena Airlines was the national airline of which European country 1923 – 2001?,Belguim
254,Cardinal Richelieu served as chief minister to which French king?,LOUIS XIII
255,The National Motor Museum is in which English county?,Hampshire
256,Which aircraft company manufactured the Spitfire?,Supermarine
257,Yellowstone National Park is located in which US state?,Wyoming
258,"In November, which film (full title) broke UK box office records; Biggest 3-day opening, biggest single day in ticket sales and biggest Friday, Saturday & Sunday openings?",Harry Potter and the Deathly Hallows: Part 1
259,Tavel and Hermitage wines are produced in which French wine growing area?,RHONE VALLEY
260,What famous building did John Nash rebuild in 1825?,Buckingham Palace
261,Sastrugi are parallel wave-like ridges caused by winds on the surface of what?,Snow
262,"""What Arabic word means """"struggle"""" but is often interpreted as """"Holy War""""?""",Jihad
263,"In the human body, a set of well-developed abdominal muscles is known as a ‘What’…pack’?",Six
264,Which city hosted the 2010 Paralympic Games?,Vancouver
265,"Which river rises in the Massif Centrale, flows north and east to enter the Bay of Biscay at St. Nazaire?",LOIRE
266,Which clothing fabric is named after a town in southern France?,Denim
267,Thermodynamics is the study of what?,Heat
268,What is the scientific name for the tube connecting the mouth with the stomach?,Oesophagus
269,What name is given to the external set of floral leaves or sepals in a flower?,Calyx
270,Which Irish author was Sir Henry Irving's business manager?,Bram Stoker
271,"At a French McDonald's, what would they call a quarter pounder with cheese?",Royal Cheese
272,The metric prefix femto is shown as ten to the power of minus what?,15
273,Petrography is the study of what?,Rocks
274,Roger Moore first played James Bond in which film?,Live and Let Die
275,A two-wheeled self-powered and self-balancing vehilce unveiled in 2001 is called what?,Segway
276,"""""""Hale knew before he had been in Brighton three hours that they meant to murder him..."""" are the opening words to which Graham Greene novel?""",Brighton Rock
277,Petite Borgeoisie is an Anglicized French term referring to what traditional notion of social demographics class?,Lower Middle Class
278,"The city of London in Ontario, Canada stands on which river?",The Thames
279,Munich is on which river?,Isar
280,"According to the Gospels of Matthew, Mark and Luke, who was compelled by the Romans to carry the cross of Jesus as he was taken to his crucifixion?",SIMON OF CYRENE
281,Which (liquid) foodstuff has the chemical formula CH3COOH?,Vinegar
282,Who wrote the novel Evening Class?,Maeve Binchy
283,"""What is the first line of the speech by the 3 witches in Shakespeare's Macbeth that ends """"toil and trouble, fire burn and cauldron bubble""""?""",Double double
284,Who was voted Time Magazine person of the century in 1999?,ALBERT EINSTEIN
285,Which US President is depicted on a $50 banknote?,Ulysses S Grant
286,What is Decompression Sickness commonly called?,The Bends
287,What sort of creature is a Malamute?,DOG
288,Which city links Haydn's symphony number 104 and Vaughan Williams' symphony number 2?,London
289,What is the name of the 'theme park' near Ripon in Yorkshire?,LIGHTWATER VALLEY
290,"""Who directed the 2005 film """"Munich""""?""",Steven Spielberg
291,"In alphabetical order, what is the first US state?",Alabama
292,In which year did the world’s first ‘expo’ the Great Exhibition in London take place?,1851
293,Morbilli is the technical term for which childhood illness?,Measles
294,What endangered bird is the largest bird in North America?,California Condor
295,"According to Edward Lear, who went to sea in a sieve?",Jumblies
296,"""Which composer, born in Pesaro in Italy in 1792, based his opera, """"The Barber of Seville"""" on the trilogy by French playwright, Pierre de Beaumarchais?""",ROSSINI
297,What is the correct representation of the burger chain brand?,McDonald's
298,The United Society of Believers in Christ's Second Appearing is also known as what?,SHAKERS
299,In the Bible who put Daniel in the lions den?,King Darius
300,Which daughter of Agamemnon was sacrificed for a fair wind?,Iphigenia
301,Who founded the Amazon website?,Jeff Bezos
302,What is the trademarked name for the distinctive logo used Nike?,Swoosh
303,Which British singer released a 2003 album entitled ‘Life For Rent’?,Dido
304,How many masts does the vessel known as a Ketch have ?,TWO
305,"In the year 1636 during the Dutch Golden Age, what unlikely item became the fourth leading export after gin, herring and cheese causing a journalist to write a book Extraordinary Popular Delusions and the Madness of Crowds?",Tulip bulb
306,Who suggested that Gordon Brown had transformed from Stalin to Mr Bean?,Vince Cable
307,Robert Louis Stevenson's 1886 classic horror novel about split personality is called what?,The Strange Case of Dr Jekyll and Mr Hyde
308,"On this date in 1927, Charles Lindbergh became the first pilot to fly solo across the Atlantic Ocean. Where did he land?",Paris
309,Which bean is the main flavour of the liqueur Tia Maria?,Coffee bean
310,"""Who was the other half of the Bouquet household, played by actor Clive Swift, in the UK TV comedy series """"Keeping Up Appearances""""?""",Richard
311,"Which US boxer, born February 1977, has the nickname ‘Pretty Boy’?",Floyd Mayweather Jr
312,How many counters does each player have in a game of backgammon?,15
313,Maureen Cox was the first wife of which famous musical personality?,RINGO STARR
314,How many houses are there in a game of Monopoly?,32
315,"""Who appeared in her first film for 15 years, """"Monster In Law"""", in 2005?""",Jane Fonda
316,Whose portrait was painted by the fictional artist Basil Hallward?,DORIAN GRAY
317,The volcano Hekla is on which island?,Iceland
318,Stink 182 is a tribute band to which band?,Blink 182
319,"""Who made the musical sculptures called """"Pythagoras"""", """"Kepler"""" & """"Galileo"""" that were installed between the tracks of Kendall Station in Cambridge, Massachusetts from 1987 to 2007?""",Paul Matisse
320,"Which American swing and jazz guitarist's single string technique combined with amplification, while with Benny Goodman's bands between 1939 and 1941, helped bring the guitar out of the rhythm section and into the forefront as a solo instrument?",Charlie Christian
321,What name is given to the stellar explosion caused when nuclear fusion within a massive star ceases and it suffers gravitational collapse?,(Super)Nova
322,"What was the capital of the Inca Empire from 1438 to 1532 which, at its peak, dominated a territory that included (from north to south) Ecuador, part of Colombia, the northern half of Chile, and the north-west part of Argentina, and (from west to east) from Bolivia to the Amazonian forests and Peru?",Cuzco
323,Phil Collins played drums with which band?,Genesis
324,The 'Battle of Trafalgar' took place in which year?,1805
325,What is the text of an opera called?,Libretto
326,What is the name of the target in a game of curling?,House
327,Broccoli and Cauliflower are members of which vegetable family?,BRASSICA
328,"""What does """"domo arigato"""" mean?""",Thank you very much
329,"In relation to spiritual diety Pachamama, in 2011 Bolivia announced an new unusual Law of what?",Mother Earth
330,How many humps would you find on a dromedary camel?,one
331,Which concert pianist became the first President of the Polish Republic in 1919?,Ignaz Jan Paderewski
332,"""In which specific TV series is there an Episode entitled """"A Fistful of Data's""""?""",Star Trek. The Next Generation
333,What is the largest continent on Earth,Asia
334,"Actor and comedian, and half of a famous double-act, Arthur Stanley Jefferson was better known by which name?",Stan Laurel
335,Which great battle between the Greeks and Persians took place in 490BC?,Battle of Marathon
336,"In 1965, who became the first British driver to win the Indianapolis 500?",Jim Clark
337,What is the Paris Stock Exchange called?,LA BOURSE
338,Children's author Mrs Darrell Waters was better known under which name?,ENID BLYTON
339,'.uk' is the network identifier for the United Kingdom. Which country uses the identifier '.jp'?,JAPAN
340,"What salty lake is located at 1,388 ft below sea level?",Dead Sea
341,Which Motown star had a new millennium hit with Not Over Yet,Diana Ross
342,Who is the mother of Aphrodite in Greek mythology?,DIONE
343,Which revolutionary leader was born Vladimir Ilyich Ulyanov?,Lenin
344,"In medicine, which suffix denotes the surgical removal of something, usually from inside the body?",-ectomy
345,The UEFA cup is a soccer tournament for teams from which continent?,Europe
346,"In which year did George Bush succeed Ronald Reagan as US President, the US ratified the Berne convention on copyright, Time Inc and Warner Communications merged to form Time-Warner, and the Exxon Valdez spilled oil in Alaska?",1989
347,"""What famous book begins: """"Chug, chug, chug. Puff, puff, puff""""?""",The Little Engine that Could
348,Who was Minister of Education when the 1944 Education Act was passed?,R.A.BUTLER
349,Which pop star played Beth in Neighbours between 1991 and 1993?,Natalie Imbruglia
350,In 1984 which Bruce Springsteen song was the first to win a Grammy for him? (He has won 20 in all),DANCING IN THE DARK
351,Painter and engraver Sir Edwin Henry Landseer was a favourite artist of which British monarch?,Queen Victoria
352,The Ballad of Bonnie and Clyde was a no.1 hit in 1967 for which singer?,Georgie Fame
353,Which cheese is known as ‘The King of English Cheeses’?,Stilton
354,The Hindu deity Ganesha has the head of which animal?,ELEPHANT
355,Alexandra of Denmark was married to which English king?,EDWARD VII
356,"All happy families resemble one another, but each unhappy family is unhappy in its own way. The opening lines of which great novel?",Anna Karenina
357,Which prototype drink recipe was formulated at Pemberton's Eagle Drug and Chemical House?,COCA COLA
